OFFICE,SGD.NUMBER,SGD.DATE,IMPORTER.TIN,FOB.VALUE,CIF.VALUE,TARIFF.DESCRIPTION,QUANTITE,TOTAL.TAXES,GROSS.WEIGHT,HS6,OFFICEHS6,SGD.WeekofYear
OO104,39779.0,08/07/2022,XAKAXX2A2F,10000000,10000000,-- Neufs,1.0,25000.0,10200,870120.0,ML104870120,27.0
OO140,1030.0,08/09/2022,XAE1IAIAAD,4500000,4500000,- Autres,1200.0,2780100.0,30000,70190.0,ML140070190,36.0
OO899,11646.0,18/03/2022,XAI2X19IXG,8509347,8509347,--- Super carburant,45000.0,3795890.0,34650,271012.0,ML899271012,11.0
OO104,32994.0,30/04/2021,XA11I5922M,5000000,5000000,- Parties et accessoires des machines du n��84.71,1191.0,12500.0,11724,847330.0,ML104847330,18.0
OO104,47931.0,08/08/2022,XAKAXX2A2F,6000000,6000000,---- Gas-oil,45000.0,15000.0,39015,271019.0,ML104271019,32.0
OO320,17573.0,30/06/2022,XAI1XX562L,31562731,31562731,--- Super carburant,45000.0,10565636.0,34650,271012.0,ML320271012,26.0
OO130,4016.0,22/06/2022,XA22E99A1D,500000,500000,- Dentifrices,280.0,1250.0,2200,330610.0,ML130330610,25.0
OO320,4563.0,09/02/2021,XAKAXXEXKA,16113160,16113160,---- Gas-oil,55000.0,6916858.0,47685,271019.0,ML320271019,6.0
OO100,28588.0,10/12/2021,XA61EK21EP,3562500,3562500,-- Autres,1140.0,641250.0,57000,252329.0,ML100252329,50.0
OO899,26151.0,13/09/2021,XAKAXX2IKL,15480211,15480211,---- Carbur�acteur,45000.0,0.0,36585,271019.0,ML899271019,37.0
OO210,15747.0,07/07/2021,XA5126K1IF,2274450,2274450,-- Pompes,11.0,600003.0,3213,841381.0,ML802841381,27.0
OO205,2097.0,10/05/2022,XA51EI529W,16778523,16778523,-- En polym�res de l'�thyl�ne,8000.0,5000001.0,40000,392321.0,ML205392321,19.0
OO120,17603.0,10/11/2021,XAKAXXIXXL,3307668,3307668,-- Autres,21.0,595381.0,40470,252329.0,ML120252329,45.0
OO899,29748.0,15/10/2021,XAII115AKL,10337414,10337414,---- Gas-oil,45000.0,0.0,39015,271019.0,ML899271019,42.0
OO121,6898.0,01/02/2021,XA22XE1A5L,12000000,12000000,"- Engrais min�raux ou chimiques contenant les trois �l�ments fertilisants�: azote, phosp",1000.0,30000.0,50000,310520.0,ML121310520,5.0
